order_id,order_total,order_item_ids,customer_name,customer_phone,delivery_address_1,delivery_address_2,delivery_address_state,delivery_address_zip,delivery_address_city,delivery_address_country
UJM9P2,229.99,AG-PPQQRRSST,Brian Lopez,(230) 555-0789,999 Oakwood Avenue,Room 25,NJ,23001,Louisville,USA 
IKJ0Q4,756.99,AG-0UV1WW2XX,Jessica Hill,(231) 555-0123,111 Cedarwood Lane,Level 26,NM,24001,Milwaukee,USA 
YTR5R6,932.99,AG-YY3ZZ4AB,Steven Adams,(232) 555-0456,222 Birchhill Street,Flat 27,NY,25001,Albuquerque,USA 
UJM8S9,932.99,AG-6C7C8D9E0,Dorothy Wright,(267) 555-0123,333 Elmwood Avenue,Unit 28,NC,26001,Tucson,USA 
VBN7T2,932.99,AG-F1F2G3G4H,Paul Turner,(268) 555-0456,444 Maplewood Lane,Building 29,ND,27001,Fresno,USA 
WSX6U3,932.99,AG-5I6J7J8K9L,Ashley Martin,(269) 555-0789,555 Oakhill Street,Floor 30,OH,28001,Sacramento,USA 
QAZ5V1,932.99,AG-0M1M2N3N4O,Kenneth Torres,(270) 555-0123,666 Pineview Avenue,Room 31,OK,29001,Kansas City,USA 
EDC4W3,932.99,AG-5PP6QQ7RR,Sandra Hall,(271) 555-0456,777 Sprucehill Lane,Level 32,OR,31001,Long Beach,USA 
RFV3X5,932.99,AG-8S9TT0UUV,Mark Morris,(272) 555-0789,888 Willowridge Street,Suite 33,PA,32001,Mesa,USA 
PLM2Y8,932.99,AG-1WW2XX3YY,Carol Allen,(273) 555-0123,999 Cedarcrest Avenue,Apartment 34,RI,33001,Atlanta,USA 
NSX1Z9,932.99,AG-4ZZ5A6BB7C,James Diaz,(274) 555-0456,111 Birchwoodhill Lane,Apt 35,SC,34001,Colorado Springs,USA 
VZM0A2,932.99,AG-8DD9EEE0F,Michelle Lee,(275) 555-0789,222 Maplehurst Street,Floor 36,SD,35001,Virginia Beach,USA 
GHP9B5,932.99,AG-1G2HH3II4J,Ronald Smith,(276) 555-0123,333 Oakridge Avenue,Building 37,TN,36001,Raleigh,USA 
IJK8C3,932.99,"CG-J7K4, CG-P9Q2, CG-X3L6",Laura Brown,(277) 555-0456,444 Pinewoodhill Lane,Unit 38,TX,37001,Omaha,USA 
WER7D6,932.99,"CG-D5M8, CG-V1N9, CG-T2R5",Donald Taylor,(278) 555-0789,555 Willowvale Street,Suite 39,UT,38001,Miami,USA 
KJH6E9,932.99,"CG-Y8S1, CG-H4T9, CG-C6U3",Sarah Wilson,(279) 555-0123,666 Cedarwoodridge Avenue,Apartment 40,VT,39001,Oakland,USA 
QWE5F1,932.99,"CG-M7V9, CG-F9W1, CG-Q3X6",Frank Johnson,(280) 555-0456,777 Maplewoodvale Lane,Flat 41,VA,41001,Minneapolis,USA 
MNB4G3,199.99,"CG-W2Y4, CG-Z5A1, CG-E8B7",Kimberly Harris,(281) 555-0789,888 Birchhillcrest Street,Room 42,WA,42001,Tulsa,USA 
POD3H5,1699.99,"CG-N1C6, CG-K4D9, CG-U6E2",Larry Rodriguez,(282) 555-0123,999 Pinehurstwood Avenue,Level 43,WV,43001,Wichita,USA 
IOP2I8,549.99,"CG-I2F8, CG-O3G7, CG-A7H4",Donna Jackson,(283) 555-0456,111 Oakdalehill Lane,Unit 44,WI,44001,New Orleans,USA 
ASD1J7,799.99,"CG-J6I8, CG-P5J3, CG-X9K1",Daniel Lewis,(284) 555-0789,222 Cedarglen Street,Floor 45,WY,45001,Arlington,USA 
ZXC0K6,1699.99,CG-D3L7,Carolyn Perez,(285) 555-0123,333 Birchwoodhaven Avenue,Building 46,AL,46001,Cleveland,USA 
RFG9L5,1999.99,EG-6S7T8U9V,Kevin Hall,(286) 555-0456,444 Maplewooddale Lane,Apartment 47,AK,47001,Bakersfield,USA 
TGB8M4,569.99,AG-BBCDD1E2,Amanda Clark,(287) 555-0789,555 Willowcrest Street,Suite 48,AZ,48001,Tampa,USA 
EDC7N2,499.99,AG-6K7LM8N9O,Justin Walker,(288) 555-0123,666 Cedarwoodhaven Avenue,Flat 49,AR,49001,Aurora,USA 
UIO6O1,1299.99,AG-PPQQRRSST,Betty Young,(289) 555-0456,777 Pinevale Lane,Room 50,CA,51001,Honolulu,USA 
OLP5P3,549.99,AG-0UV1WW2XX,Christopher Hernandez,(290) 555-0789,888 Oakhillcrest Street,Floor 51,CO,52001,Anaheim,USA 
QAZ4Q8,359.99,EG-YY3ZZ4AB,Brenda Scott,(291) 555-0123,999 Birchview Avenue,Level 52,CT,53001,Santa Ana,USA 
WSX3R5,999.99,EG-6C7C8D9E0,Jerry Green,(292) 555-0456,111 Maplewoodglade Lane,Apartment 53,WY,54001,Corpus Christi,USA 
RFV2S1,569.99,EG-F1F2G3G4H,Deborah Nguyen,(293) 555-0789,222 Oakwoodvale Street,Building 54,AL,55001,Riverside,USA 
PLM1T4,499.99,EG-5I6J7J8K9L,Ryan Lopez,(294) 555-0123,333 Pinehursthaven Avenue,Suite 55,AK,56001,St. Louis,USA 
NSX0U7,1299.99,EG-0M1M2N3N4O,Pamela Hill,(295) 555-0456,444 Cedarwoodglade Lane,Unit 56,AZ,57001,Lexington,USA 
VZM9V5,549.99,AG-5PP6QQ7RR,Gary Adams,(296) 555-0789,555 Willowwoodvale Street,Flat 57,AR,58001,Stockton,USA 
GHP8W3,359.99,"CG-X3L6, CG-D5M8",Debra Wright,(297) 555-0123,666 Oakwoodglade Avenue,Room 58,CA,59001,Pittsburgh,USA 
IJK7X,999.99,"CG-V1N9, CG-T2R5",Scott Turner,(298) 555-0456,777 Pinevalewood Lane,Floor 59,CO,56002,Cincinnati,USA 
